t,q1,q2,dq1,dq2,ddq1,ddq2,tau1,tau2
7.699999999999835865e-01,-1.268416972014735356e+00,-5.289774395643206395e-01,-2.462487079705210080e-01,-4.041759194654447884e-01,1.369102836543755093e-02,-3.388396392900459853e-02,-6.144595581352840785e-01,-1.065274898526057529e-01
7.799999999999833733e-01,-1.270834024227942338e+00,-5.329001081931215023e-01,-2.461099053806214132e-01,-4.045144469251248931e-01,1.406930875930764713e-02,-3.382072715922568307e-02,-6.153868041294715541e-01,-1.065366357373082606e-01
7.899999999999831601e-01,-1.273250053844509955e+00,-5.368269216034873281e-01,-2.459673250792040189e-01,-4.048523195032144306e-01,1.444656303858862963e-02,-3.375295749295804254e-02,-6.163123011842798205e-01,-1.065459329978951514e-01
7.999999999999829470e-01,-1.275665007960427699e+00,-5.407578438090256956e-01,-2.458209775353500381e-01,-4.051894910361455437e-01,1.482275007193213819e-02,-3.368048824259353008e-02,-6.172359325878962188e-01,-1.065553706246391841e-01
8.099999999999827338e-01,-1.278078833749324739e+00,-5.446928384245868227e-01,-2.456708736166506868e-01,-4.055259137002580339e-01,1.519783130487996695e-02,-3.360315411247996598e-02,-6.181575796710434556e-01,-1.065649367490672655e-01
8.199999999999825206e-01,-1.280491478481967871e+00,-5.486318686831354041e-01,-2.455170245629949566e-01,-4.058615380267021622e-01,1.557177084762014461e-02,-3.352079139659639578e-02,-6.190771217701427354e-01,-1.065746186717053678e-01
8.299999999999823075e-01,-1.282902889545147751e+00,-5.525748974519049117e-01,-2.453594419595103160e-01,-4.061963129183551735e-01,1.594453555639408285e-02,-3.343323818351411764e-02,-6.199944361965904482e-01,-1.065844028908345398e-01
8.399999999999820943e-01,-1.285313014459913639e+00,-5.565218872478443490e-01,-2.451981377087150415e-01,-4.065301856688025017e-01,1.631609511014365382e-02,-3.334033456403612261e-02,-6.209093982123136124e-01,-1.065942751322234289e-01
8.499999999999818812e-01,-1.287721800899170432e+00,-5.604728002523470254e-01,-2.450331240019332224e-01,-4.068631019834156870e-01,1.668642208077430328e-02,-3.324192284291667410e-02,-6.218218810117444040e-01,-1.066042203798006766e-01
8.599999999999816680e-01,-1.290129196704581815e+00,-5.644275983252751150e-01,-2.448644132900398840e-01,-4.071950060025498197e-01,1.705549199722894080e-02,-3.313784775001180072e-02,-6.227317557102985957e-01,-1.066142229072370023e-01
8.699999999999814548e-01,-1.292535149902835689e+00,-5.683862430182952119e-01,-2.446920182535930743e-01,-4.075258403268575691e-01,1.742328340392716376e-02,-3.302795665365031164e-02,-6.236388913394658173e-01,-1.066242663104073479e-01
8.799999999999812417e-01,-1.294939608721215940e+00,-5.723486955875326521e-01,-2.445159517724113107e-01,-4.078555460447541026e-01,1.778977791343159739e-02,-3.291209977762687977e-02,-6.245431548485920192e-01,-1.066343335407058251e-01
8.899999999999810285e-01,-1.297342521602462995e+00,-5.763149170055408277e-01,-2.443362268946489280e-01,-4.081840627620767492e-01,1.815496025400000976e-02,-3.279013042292745761e-02,-6.254444111134277451e-01,-1.066444069391675326e-01
8.999999999999808153e-01,-1.299743837218955367e+00,-5.802848679726096970e-01,-2.441528568054258941e-01,-4.085113286339858707e-01,1.851881831144083779e-02,-3.266190519420089644e-02,-6.263425229515099391e-01,-1.066544682713153613e-01
9.099999999999806022e-01,-1.302143504486181103e+00,-5.842585089274255905e-01,-2.439658547950609713e-01,-4.088372803991487947e-01,1.888134316634022813e-02,-3.252728422981104178e-02,-6.272373511444763183e-01,-1.066644987626319957e-01
9.199999999999803890e-01,-1.304541472575482697e+00,-5.882358000571058509e-01,-2.437752342269569050e-01,-4.091618534162323462e-01,1.924252912686926290e-02,-3.238613143288798790e-02,-6.281287544673469503e-01,-1.066744791345571736e-01
9.299999999999801759e-01,-1.306937690926103013e+00,-5.922167013066031993e-01,-2.435810085051811902e-01,-4.094849817026999794e-01,1.960237375651164085e-02,-3.223831470074186439e-02,-6.290165897248450877e-01,-1.066843896409336995e-01
